GeneID,Gene,Annotation_New,KEGG_Pathway,KEGG2,KEGG1,D11,L1,L6,L11,D1,D6,2D11,2L1
CwatDRAFT_0948,"crtB, pys",Squalene/phytoene synthase,Biosynthesis of steroids,Lipid metabolism,Metabolism,12.78,13.37,12.16,10.35,8.19,9.03,11.04,12.04
CwatDRAFT_0947,"crtD, pds","Carotene 7,8-desaturase",Biosynthesis of steroids,Lipid metabolism,Metabolism,13.36,13.92,13.26,11.77,9.88,10.4,12.54,13.63
CwatDRAFT_1877,crtE,Polyprenyl synthetase,Biosynthesis of steroids,Lipid metabolism,Metabolism,12.95,12.44,11.96,10.85,10.03,11.23,12.37,12.2
CwatDRAFT_5404,crtQ,"Carotene 7,8-desaturase",Biosynthesis of steroids,Lipid metabolism,Metabolism,11.44,11.04,9.96,9.48,9.3,9.42,10.37,10.29
CwatDRAFT_5424,crtR,Fatty acid desaturase,Biosynthesis of steroids,Lipid metabolism,Metabolism,11.8,12.04,10.78,9.77,8.45,10.16,11.31,11.95
CwatDRAFT_3226,desA,Fatty acid desaturase,Androgen and estrogen metabolism,Lipid metabolism,Metabolism,12.77,13.44,13.3,11.73,9.13,10.31,12.21,13.02
CwatDRAFT_4480,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Biosynthesis of steroids,Lipid metabolism,Metabolism,11.73,12.18,11.07,9.12,8.37,9.02,11.57,12.3
CwatDRAFT_6606,dxs,Deoxyxylulose-5-phosphate synthase,Biosynthesis of steroids,Lipid metabolism,Metabolism,14.22,13.63,13.38,13.11,12.96,12.45,12.96,12.77
CwatDRAFT_4624,fabD,Malonyl CoA-acyl carrier protein transacylase,Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,15.79,15.22,14.52,14.97,15.07,13.98,15.47,14.42
CwatDRAFT_2303,fabG,3-oxoacyl-(acyl-carrier-protein) reductase,Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,11.88,11.79,11.15,9.98,8.83,9.68,11,11.37
CwatDRAFT_4623,fabH,Beta-ketoacyl-acyl carrier protein synthase III (FabH),Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,13.58,13.12,12.32,12.93,13.17,12.14,13.09,12.6
CwatDRAFT_2244,ispD,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,Biosynthesis of steroids,Lipid metabolism,Metabolism,6.83,8.23,9.6,8.75,8.38,8.52,7.85,9.86
CwatDRAFT_2379,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,Biosynthesis of steroids,Lipid metabolism,Metabolism,8.65,8.95,8.6,8.64,9.15,10.07,9.89,9.62
CwatDRAFT_0949,ispG,IspG protein,Biosynthesis of steroids,Lipid metabolism,Metabolism,12.07,12.4,12.02,10.21,8.17,8.45,10.93,11.65
CwatDRAFT_4968,lytB,LytB protein,Biosynthesis of steroids,Lipid metabolism,Metabolism,8.11,10.29,10.32,9.24,7.21,7.63,8.25,9.9
CwatDRAFT_4422,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Glycerophospholipid metabolism,Lipid metabolism,Metabolism,8.13,7.43,7.9,7.6,7.19,7.39,7.75,7.32
CwatDRAFT_0837,sdr,Short-chain dehydrogenase/reductase SDR,Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,10.51,9.82,9.01,8.3,8.48,9.11,10.1,10.25
CwatDRAFT_2710,trmA,tRNA (uracil-5-)-methyltransferase/TrmA,Androgen and estrogen metabolism,Lipid metabolism,Metabolism,9.58,9.93,10.18,10.07,10.42,10.01,9.49,10
CwatDRAFT_1079,ubiE,UbiE/COQ5 methyltransferase,Androgen and estrogen metabolism,Lipid metabolism,Metabolism,6.33,7.1,7.86,6.62,6.24,6.87,6.95,7.33
CwatDRAFT_2870,,similar to Arylsulfatase A and related enzymes,Androgen and estrogen metabolism,Lipid metabolism,Metabolism,6.79,5.66,5.63,6.1,7.05,6.65,6.27,6.05
CwatDRAFT_3785,,Caffeoyl-CoA O-methyltransferase,Androgen and estrogen metabolism,Lipid metabolism,Metabolism,4.78,5.69,6.97,8.63,8.34,8.29,4.93,6
CwatDRAFT_4362,,Isopentenyl-diphosphate delta-isomerase,Biosynthesis of steroids,Lipid metabolism,Metabolism,14.25,13.94,14.09,13.7,13.48,13.37,13.55,13.42
CwatDRAFT_4923,,MECDP-synthase,Biosynthesis of steroids,Lipid metabolism,Metabolism,7.19,7.17,6.61,6.05,5.33,5.76,6.05,6.77
CwatDRAFT_2036,,Acyl transferase region,Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,4.41,4.41,4.27,4.32,4.67,4.47,4.68,4.27
CwatDRAFT_6015,,Beta-ketoacyl synthase:Beta-ketoacyl synthase,Fatty acid biosynthesis (path 1),Lipid metabolism,Metabolism,14,14.34,13.63,12.65,12.51,11.19,12.49,13.28
CwatDRAFT_5437,,AMP-dependent synthetase and ligase,Fatty acid metabolism,Lipid metabolism,Metabolism,9.23,10.79,11.94,12.54,12.06,10.59,9.59,10.78
CwatDRAFT_0650,,Glycerol-3-phosphate dehydrogenase (NAD(P)+),Glycerophospholipid metabolism,Lipid metabolism,Metabolism,6.24,5.91,6.22,6.1,6.62,6.09,5.97,5.39
CwatDRAFT_1156,,Glycerophosphoryl diester phosphodiesterase,Glycerophospholipid metabolism,Lipid metabolism,Metabolism,4.62,4.36,4.43,4.22,4.63,4.27,4.57,4.27
CwatDRAFT_1775,ffh,Signal recognition particle protein,Protein export,Membrane Transport,Environmental Information Processing,11.91,11.22,10.7,10.78,11.27,11.37,11.24,10.75
CwatDRAFT_1403,ftsY,Cell division transporter substrate-binding protein FtsY,Protein export,Membrane Transport,Environmental Information Processing,13.02,13.41,13.35,12.21,10.89,11.14,12.45,12.72
CwatDRAFT_3288,lepB,Signal peptidase I,Protein export,Membrane Transport,Environmental Information Processing,8.79,9.57,9.44,8.49,8.36,7.78,8.66,9.34
CwatDRAFT_4156,lepB,Signal peptidase I,Protein export,Membrane Transport,Environmental Information Processing,9.74,9.8,9.89,9.19,9.66,10.17,11.26,10.79
CwatDRAFT_4912,lspA,"Peptidase A8, signal peptidase II",Protein export,Membrane Transport,Environmental Information Processing,9.51,7.83,6.83,6.75,5.96,8.19,9.18,8.19
CwatDRAFT_2193,modA,"Molybdenum ABC transporter, periplasmic binding protein",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.78,6.73,7.66,7.23,7.31,6.26,5.49,6.83
CwatDRAFT_0046,pilM,"pilus assembly protein, membrane protein, required for motility",Type II secretion system,Membrane transport,Environmental Information Processing,4.86,4.53,4.31,4.47,4.86,4.33,4.75,4.47
CwatDRAFT_6522,pilM,"pilus assembly protein, membrane protein, required for motility",Type II secretion system,Membrane transport,Environmental Information Processing,6.99,7.19,6.29,7,7.52,7.42,7.29,7.18
CwatDRAFT_0047,pilN,required for motility,Type II secretion system,Membrane transport,Environmental Information Processing,8.91,7.79,8.08,8.2,9.55,9.37,9.96,8.28
CwatDRAFT_4656,pilT,Pilus retraction protein PilT,Type II secretion system,Membrane transport,Environmental Information Processing,5.85,5.44,4.93,5.28,5.94,5.1,4.98,5.61
CwatDRAFT_4947,pilT,Pilus retraction protein PilT,Type II secretion system,Membrane transport,Environmental Information Processing,6.19,6.46,6.84,6.5,5.89,5.21,5.59,5.82
CwatDRAFT_6691,pilT2,twitching mobility protein,Type II secretion system,Membrane transport,Environmental Information Processing,6.5,5.69,5.44,5.46,6.4,5.49,5.39,5.9
CwatDRAFT_4930,pstA,ABC-type phosphate transport system permease protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.76,11.29,11.28,12.85,11.98,11.86,12.44,11.59
CwatDRAFT_4931,pstA,ABC-type phosphate transport system permease protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.71,11.31,11.13,12.64,12.18,11.39,11.52,11.08
CwatDRAFT_1348,pstB,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.43,5.9,6.1,5.14,4.94,4.56,5.24,5.85
CwatDRAFT_4932,pstB,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.23,9.67,9.22,10.49,9.65,9.15,9.03,9.19
CwatDRAFT_4933,pstB,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.42,10,9.53,10.59,9.51,9.5,9.95,9.96
CwatDRAFT_4929,pstC,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.95,10.18,10.38,12.51,10.48,9.53,8.97,9.65
CwatDRAFT_4928,pstS,"extracellular solute-binding protein, family 1",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.42,9.98,10.8,13.5,12.23,11.03,8.23,9.11
CwatDRAFT_1905,secA,SecA protein,Protein export,Membrane Transport,Environmental Information Processing,12.7,13.37,13.49,13.23,13.01,12.68,12.67,13.15
CwatDRAFT_4038,secD,SecD/SecF/SecDF export membrane protein:SecD export membrane protein,Protein export,Membrane Transport,Environmental Information Processing,13.59,13.18,12.41,11.99,11.44,11.39,13.02,12.82
CwatDRAFT_4039,secF,SecD/SecF/SecDF export membrane protein:SecF protein,Protein export,Membrane Transport,Environmental Information Processing,9.04,8.41,7.07,6.86,6.19,7.16,8.55,8.8
CwatDRAFT_2396,secY,SecY protein,Protein export,Membrane Transport,Environmental Information Processing,14.36,14.68,14.53,13.73,12.83,13.67,14.1,14.54
CwatDRAFT_2619,tatAE,Twin-arginine translocation protein TatA/E,Protein export,Membrane Transport,Environmental Information Processing,13.12,13.17,13.55,12.8,12.05,13.14,14.45,14.48
CwatDRAFT_2754,tatAE,Twin-arginine translocation protein TatA/E,Protein export,Membrane Transport,Environmental Information Processing,6.74,6.42,5.58,6.2,7.03,6.36,5.53,6.13
CwatDRAFT_4361,tatC,Sec-independent periplasmic protein translocase,Protein export,Membrane Transport,Environmental Information Processing,12.78,12.16,12.35,11.95,11.56,12.63,13.27,12.83
CwatDRAFT_4845,tobE,ABC transporter:TOBE,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.41,6.54,5.77,4.5,4.3,4.4,4.98,6.93
CwatDRAFT_0139,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,4.48,4.63,4.4,4.48,4.23,4.42,5.04,4.5
CwatDRAFT_0263,,Protein of unknown function DUF140,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.65,10.27,11.47,11.58,10.44,9.3,9.75,9.94
CwatDRAFT_0545,,inner-membrane translocator,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.63,9.08,8.45,7.56,8.48,7.99,8.75,9.02
CwatDRAFT_0737,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.41,12.01,11.07,11.42,11.94,9.85,10.78,11.14
CwatDRAFT_0738,,"extracellular solute-binding protein, family 5",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.62,9.51,8.85,8.82,8.86,8.91,8.9,9.18
CwatDRAFT_0917,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.18,10.15,9.59,7.79,7.39,7.42,8.14,10.13
CwatDRAFT_1034,,Sulfate-transporting ATPase,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.84,9.56,9.53,9.58,8.9,8.76,9.13,9.53
CwatDRAFT_1360,,Sulfate-transporting ATPase,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.56,10.42,9.49,7.54,5.85,6.83,9.21,10.01
CwatDRAFT_1361,,"extracellular solute-binding protein, family 1",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.45,12.19,11.57,10.66,10.26,9.59,10.85,11.29
CwatDRAFT_1362,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.45,9.83,9.42,8.7,7.29,7.78,9.29,9.9
CwatDRAFT_1363,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.01,11.27,10.92,10.34,9.12,9.02,10.58,11.14
CwatDRAFT_1488,,similar to ABC-type branched-chain amino acid transport systems periplasmic component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.21,4.68,5.05,5.27,5.21,4.98,5.06,4.45
CwatDRAFT_1752,,"extracellular solute-binding protein, family 5",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,7.62,8.59,7.93,7.94,6.21,6.84,7.55,8.19
CwatDRAFT_2058,,hypothetical,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.15,10.59,10,9.6,9.96,10.72,11.54,11.05
CwatDRAFT_2285,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,12.78,13.85,12.88,11.98,10.61,10.92,12.45,13.84
CwatDRAFT_2469,,Periplasmic binding protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,6,6.48,6.91,6.51,6.84,5.94,5.75,6.4
CwatDRAFT_2736,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.18,9.83,10.77,10.83,11.61,10.19,10.64,8.78
CwatDRAFT_2793,,"Amino acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,4.39,4.44,4.63,4.27,4.42,4.22,4.68,4.48
CwatDRAFT_2970,,inner-membrane translocator,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.78,10.85,10.16,10.96,11.41,11.33,10.7,10.94
CwatDRAFT_3126,,Periplasmic solute binding protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.96,11.42,7.74,7.86,8.47,10.94,11.66,10.61
CwatDRAFT_3127,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,12.82,11.35,8.81,8.97,9.52,11.58,13.67,11.38
CwatDRAFT_3128,,ABC-3,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,7.44,6.01,4.75,4.69,4.96,5.94,7.31,5.84
CwatDRAFT_3150,,Twin-arginine translocation pathway signal,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.28,11.54,13.27,14.32,12.98,12.14,10.25,11.46
CwatDRAFT_3213,,similar to ABC-type Fe3+ transport system permease component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.3,5.98,7.59,7.42,6.93,5.01,5.13,5.96
CwatDRAFT_3239,,"extracellular solute-binding protein, family 3",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.77,11.57,10.94,11.03,10.33,9.6,10.72,10.79
CwatDRAFT_3362,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.66,5.75,5.72,4.97,5,5.35,5.61,5.82
CwatDRAFT_3463,,Cobalt transport protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.73,9.16,9,9.05,9.86,10.05,10.06,9.56
CwatDRAFT_3660,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.19,9.5,10.77,10.46,9.37,8,8.66,8.84
CwatDRAFT_3661,,Mce4/Rv3499c/MTV023.06c protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.33,11.11,13.05,12.58,11.23,10,10.13,10.5
CwatDRAFT_3667,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,5.83,6.06,5.81,5.88,5.15,4.97,5.08,5.34
CwatDRAFT_3811,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.69,9.93,9.24,8.3,7.97,9.47,10.3,10.32
CwatDRAFT_3812,,"extracellular solute-binding protein, family 1",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,6.23,7.14,7.85,6.7,5.75,6.7,6.63,7.59
CwatDRAFT_3989,,"extracellular solute-binding protein, family 3",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,12.73,13.49,13,12.63,11.9,11.04,12.09,12.64
CwatDRAFT_4158,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.11,11.9,11.57,11,10.44,9.09,10.05,11.56
CwatDRAFT_4437,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,6.37,7.62,6.94,7.28,8.63,7.37,6.84,7.6
CwatDRAFT_5043,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,6.79,7.91,7.01,5.86,5.51,5.66,6.93,7.93
CwatDRAFT_5088,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.66,8.62,8.44,8.67,8.66,8.23,9.49,9.15
CwatDRAFT_5134,,Twin-arginine translocation pathway signal,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,6.19,6.15,5.08,5.68,5.25,6.36,6.54,6.44
CwatDRAFT_5160,,"extracellular solute-binding protein, family 1",ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,4.57,4.51,4.98,10.05,10.32,8.03,5.05,4.22
CwatDRAFT_5253,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,11.95,11.62,10.4,11.84,11.72,12.02,10.53,10.31
CwatDRAFT_5254,,ABC-3,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,10.48,9.64,8.6,9.98,9.88,10.14,8.53,8.39
CwatDRAFT_5496,,Periplasmic solute binding protein,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.29,9.16,10.37,11.61,8.97,8.25,8.47,9.03
CwatDRAFT_5498,,ABC-3,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,9.24,9.02,9.83,11.29,9.02,7.94,8.94,8.66
CwatDRAFT_5525,,Binding-protein-dependent transport systems inner membrane component,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.76,8.73,8.14,5.68,5.99,6.05,8.42,8.89
CwatDRAFT_5899,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,4.54,5.82,5.14,4.15,4.01,4.24,5.23,5.63
CwatDRAFT_6026,,ABC transporter,ABC transporters  prokaryotic,Membrane transport,Environmental Information Processing,8.76,9.11,9.25,8.53,7.65,7.58,8.67,8.91
CwatDRAFT_2029,,Preprotein translocase SecG subunit,Protein export,Membrane Transport,Environmental Information Processing,11.18,11.04,10.88,10.06,10.58,11.44,10.61,10.23
CwatDRAFT_4796,,60 kDa inner membrane protein,Protein export,Membrane Transport,Environmental Information Processing,12.72,12.92,13.03,12.8,11.99,12.41,12.89,12.9
CwatDRAFT_0316,,similar to Chemotaxis signal transduction protein,Type II secretion system,Membrane transport,Environmental Information Processing,6.19,5.1,5.64,6.04,6.09,4.99,5.03,5.04
CwatDRAFT_0336,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,6.76,6.3,5.31,5.51,6.05,5.32,5.59,5.74
CwatDRAFT_0426,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,5.13,5.12,4.58,4.97,4.42,5.32,5.98,5.62
CwatDRAFT_1448,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,5.3,4.49,4.45,4.88,5.88,4.37,4.63,4.94
CwatDRAFT_2087,,Prokaryotic N-terminal methylation site,Type II secretion system,Membrane transport,Environmental Information Processing,8.36,7.25,5.98,5.93,6.5,6.79,8.09,7.04
CwatDRAFT_2355,,Response regulator receiver,Type II secretion system,Membrane transport,Environmental Information Processing,5.31,5.51,5.79,5.7,5.38,4.9,4.92,5.14
CwatDRAFT_2356,,CheW-like protein,Type II secretion system,Membrane transport,Environmental Information Processing,5.22,5.55,5.88,5.64,5.15,4.81,5.27,5.33
CwatDRAFT_2357,,GAF,Type II secretion system,Membrane transport,Environmental Information Processing,6.1,5.49,5.4,5.49,5.36,5.06,5.48,5.2
CwatDRAFT_2359,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,5.25,4.74,4.87,5.28,5.17,4.71,5.1,4.48
CwatDRAFT_2360,,chemotaxis sensory transducer,Type II secretion system,Membrane transport,Environmental Information Processing,6.72,5.73,5.93,6.41,6.29,5.43,5.96,5.18
CwatDRAFT_3356,,Prepilin peptidase,Type II secretion system,Membrane transport,Environmental Information Processing,9.9,9.18,9.49,8.92,10.09,10.37,10.99,9.88
CwatDRAFT_3814,,GGDEF:Response regulator receiver,Type II secretion system,Membrane transport,Environmental Information Processing,4.54,4.52,4.4,4.51,4.55,4.59,4.51,4.15
CwatDRAFT_4308,,type II secretion system protein E,Type II secretion system,Membrane transport,Environmental Information Processing,10.13,8,8.2,7.19,6.33,7.52,9.22,7.4
CwatDRAFT_4393,,Prokaryotic N-terminal methylation site,Type II secretion system,Membrane transport,Environmental Information Processing,8.21,7.95,8.12,8.24,8.28,8.1,8.73,7.9
CwatDRAFT_4945,,"type II secretion system protein E:General secretory system II, protein E, N-terminal",Type II secretion system,Membrane transport,Environmental Information Processing,5.26,4.46,4.57,4.68,5.12,4.51,5.09,4.68
CwatDRAFT_4946,,pilus biogenesis protein homologous to general secretion pathway protein E,Type II secretion system,Membrane transport,Environmental Information Processing,7.22,6.9,7.75,7.83,8.44,6.26,5.73,6.01
CwatDRAFT_4948,,"a part of pilC, required for twitching motility",Type II secretion system,Membrane transport,Environmental Information Processing,5.52,5.26,6.08,5.88,5.38,5.01,5.28,4.86
CwatDRAFT_4949,,type II secretion system protein,Type II secretion system,Membrane transport,Environmental Information Processing,5.26,4.71,5.23,5.29,5.22,4.72,4.85,4.27
CwatDRAFT_5280,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,4.95,4.61,4.58,4.45,4.99,4.5,4.82,4.1
CwatDRAFT_5604,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,4.7,4.45,4.8,4.83,4.68,4.33,4.57,4.7
CwatDRAFT_5605,,"Histidine kinase, HAMP region:Bacterial chemotaxis sensory transducer",Type II secretion system,Membrane transport,Environmental Information Processing,6.48,5.48,5.88,5.88,5.56,5.27,5.86,5.68
CwatDRAFT_5987,,hypothetical,Type II secretion system,Membrane transport,Environmental Information Processing,4.89,4.64,4.53,4.55,5.06,4.39,4.78,4.9
CwatDRAFT_6058,,required for motility,Type II secretion system,Membrane transport,Environmental Information Processing,5.89,5.67,5.2,5.54,5.69,5.3,6,5.92
CwatDRAFT_4910,bioB,Biotin synthase,Biotin metabolism,Metabolism of Cofactors and Vitamins,Metabolism,13.56,13.29,13.08,12.1,11.31,12.64,13.32,13.31
CwatDRAFT_4090,bioF,8-amino-7-oxononanoate synthase,Biotin metabolism,Metabolism of Cofactors and Vitamins,Metabolism,5.86,4.85,4.99,5.93,8.08,7.96,7.09,6.26
CwatDRAFT_0412,cbiX,Cobalamin (vitamin B12) biosynthesis CbiX protein,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,12.28,11.73,12,12.88,13.98,12.13,11.85,10.99
CwatDRAFT_0967,chlB,"Light-independent protochlorophyllide reductase, B subunit",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,9.84,9.76,9.86,9.7,9.01,8.94,9.43,9.29
CwatDRAFT_1440,chlD,"Magnesium chelatase, ChlI subunit",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,12.68,11.9,11.17,10.16,10.28,11.16,12.09,11.4
CwatDRAFT_6019,chlG,Bacteriochlorophyll/chlorophyll synthetase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,12.23,11.7,11.23,10.85,10.96,11.31,11.78,11.42
CwatDRAFT_1994,chlH,CobN/magnesium chelatase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,7.77,8.76,9.23,9.18,8.95,8.73,8.08,8.53
CwatDRAFT_1995,chlH,similar to Cobalamin biosynthesis protein CobN and related Mg-chelatases,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,5.2,4.75,5.01,5.03,5.4,5.08,4.93,4.84
CwatDRAFT_4373,chlH,CobN/magnesium chelatase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,14.51,14.25,14.19,13.11,11.7,12.42,13.69,13.74
CwatDRAFT_6292,chlI,"Magnesium chelatase, ChlI subunit",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,13.13,12.34,11.31,10.05,10.56,11.79,12.66,12.19
CwatDRAFT_4016,chlL,"Light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,12.84,11.25,11.84,10.71,11.53,12.07,12.33,10.93
CwatDRAFT_2923,chlM,Magnesium protoporphyrin O-methyltransferase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,13.47,12.71,11.23,10.97,11.27,12.5,13.82,12.76
CwatDRAFT_4018,chlN,"Light-independent protochlorophyllide reductase, N subunit",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,9.81,8.96,9.84,8.55,9.13,10.46,10.17,9.16
CwatDRAFT_1268,chlP,Geranylgeranyl reductase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,14.81,14.46,13.87,12.66,11.86,11.38,13.86,13.86
CwatDRAFT_2248,cobA,ATP:corrinoid adenosyltransferase BtuR/CobO/CobP,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,9.48,11.19,11.06,9.49,9,8.76,9.59,11.28
CwatDRAFT_5933,cobA,"Uroporphyrin-III C-methyltransferase, C-terminal",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,12.12,10.75,10.79,11.81,12.5,11.19,11.69,10.41
CwatDRAFT_0122,cobB,"Cobyrinic acid a,c-diamide synthase CbiA",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,8.59,6.89,6.77,6.19,6.02,6.11,9.26,7.1
CwatDRAFT_2057,cobD,Cobalamin biosynthesis protein CbiB,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,10.5,9.18,9.26,9.38,9.78,10.13,10.97,9.28
CwatDRAFT_5256,CobD,L-threonine-O-3-phosphate decarboxylase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,10.98,11.22,10.96,11.68,11.46,10.18,10.41,10.61
CwatDRAFT_6590,cobI,Precorrin-2 C20-methyltransferase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,9.71,8.68,9.64,9.69,9.77,9.74,9.13,8.77
CwatDRAFT_2665,cobJ,Precorrin-3B C17-methyltransferase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,8.68,8.31,7.55,7.58,8.06,7.55,8.15,7.76
CwatDRAFT_1729,cobL,"Precorrin-6Y C5,15-methyltransferase (decarboxylating)",Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,4.32,4.4,4.57,6.69,6.26,5.5,4.85,4.44
CwatDRAFT_3183,cobM,Precorrin-4 C11-methyltransferase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,7.73,7.76,7.71,7.69,6.53,7.25,8.31,8.06
CwatDRAFT_6634,cobN,CobN/magnesium chelatase,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,Metabolism,7.57,7.19,6.69,7.06,7.06,6.98,7.65,6.92
